0a011f1a|	adc w10, w8, wzr
2f88c10c|	ld2 {v15.2s, v16.2s}, [x1], x1
a01e604d|	ld2 {v0.b, v1.b}[15], [x21]
eb82604d|	ld2 {v11.s, v12.s}[2], [x23]
f985600d|	ld2 {v25.d, v26.d}[0], [x15]
e315ff0d|	ld2 {v3.b, v4.b}[5], [x15],#2
1c11f24d|	ld2 {v28.b, v29.b}[12], [x8], x18
f341ef4d|	ld2 {v19.h, v20.h}[4], [x15], x15
5a80ff4d|	ld2 {v26.s, v27.s}[2], [x2],#8
d781fd0d|	ld2 {v23.s, v24.s}[0], [x14], x29
c885ff0d|	ld2 {v8.d, v9.d}[0], [x14],#16
1286f34d|	ld2 {v18.d, v19.d}[1], [x16], x19
06c2600d|	ld2r {v6.8b, v7.8b}, [x16]
95c7ff4d|	ld2r {v21.8h, v22.8h}, [x28],#4
d4c1e14d|	ld2r {v20.16b, v21.16b}, [x14], x1
eb4bdf4c|	ld3 {v11.4s-v13.4s}, [sp],#48
ce4fc24c|	ld3 {v14.2d-v16.2d}, [x30], x2
db23400d|	ld3 {v27.b-v29.b}[0], [x30]
26b3400d|	ld3 {v6.s-v8.s}[1], [x25]
37a4400d|	ld3 {v23.d-v25.d}[0], [x1]
052edf4d|	ld3 {v5.b-v7.b}[11], [x16],#3
8c3ccd0d|	ld3 {v12.b-v14.b}[7], [x4], x13
74b0df4d|	ld3 {v20.s-v22.s}[3], [x3],#12
b7b1c84d|	ld3 {v23.s-v25.s}[3], [x13], x8
e6a5df4d|	ld3 {v6.d-v8.d}[1], [x15],#24
42a5c80d|	ld3 {v2.d-v4.d}[0], [x10], x8
9ceb400d|	ld3r {v28.2s-v30.2s}, [x28]
6aeadf4d|	ld3r {v10.4s-v12.4s}, [x19],#12
65ebce4d|	ld3r {v5.4s-v7.4s}, [x27], x14
ea05400c|	ld4 {v10.4h-v13.4h}, [x15]
1f03df0c|	ld4 {v31.8b, v0.8b, v1.8b, v2.8b}, [x24],#32
ae09c90c|	ld4 {v14.2s-v17.2s}, [x13], x9
fd3a604d|	ld4 {v29.b, v30.b, v31.b, v0.b}[14], [x23]
d8a0604d|	ld4 {v24.s-v27.s}[2], [x6]
62a4604d|	ld4 {v2.d-v5.d}[1], [x3]
712fff0d|	ld4 {v17.b-v20.b}[3], [x27],#4
aa27f40d|	ld4 {v10.b-v13.b}[1], [x29], x20
be71ff4d|	ld4 {v30.h, v31.h, v0.h, v1.h}[6], [x13],#8
e360ee4d|	ld4 {v3.h-v6.h}[4], [x7], x14
c0a0ff0d|	ld4 {v0.s-v3.s}[0], [x6],#16
d3a3e00d|	ld4 {v19.s-v22.s}[0], [x30], x0
95a7ff0d|	ld4 {v21.d-v24.d}[0], [x28],#32
32a6e14d|	ld4 {v18.d-v21.d}[1], [x17], x1
56e0604d|	ld4r {v22.16b-v25.16b}, [x2]
dce7ff0d|	ld4r {v28.4h-v31.4h}, [x30],#8
14e8ef0d|	ld4r {v20.2s-v23.2s}, [x0], x15
7776732c|	ldnp s23, s29, [x19,#-104]
23dd746c|	ldnp d3, d23, [x9,#-184]
383e48ac|	ldnp q24, q15, [x17,#256]
0d10c12c|	ldp s13, s4, [x0],#8
fe3ae66c|	ldp d30, d14, [x23],#-416
f627f9ac|	ldp q22, q9, [sp],#-224
918cd82d|	ldp s17, s3, [x4,#196]!
986be46d|	ldp d24, d26, [x28,#-448]!
ebd8f8ad|	ldp q11, q22, [x7,#-240]!
3c905c2d|	ldp s28, s4, [x1,#228]
5887536d|	ldp d24, d1, [x26,#312]
08957cad|	ldp q8, q5, [x8,#-112]
c5e5543c|	ldr b5, [x14],#-178
4ff5417c|	ldr h15, [x10],#31
72e54bbc|	ldr s18, [x11],#190
16b55dfc|	ldr d22, [x8],#-37
9e24db3c|	ldr q30, [x4],#-78
d20c503c|	ldr b18, [x6,#-256]!
1f1c4d7c|	ldr h31, [x0,#209]!
2fbf4dbc|	ldr s15, [x25,#219]!
a06c59fc|	ldr d0, [x5,#-106]!
886ddd3c|	ldr q8, [x12,#-42]!
58f64e3d|	ldr b24, [x18,#957]
f5c3547d|	ldr h21, [sp,#2656]
8e8a7bbd|	ldr s14, [x20,#15240]
8e3c7afd|	ldr d14, [x4,#29816]
f2aeff3d|	ldr q18, [x23,#65200]
92831b1c|	ldr s18, .+0x37070
3e01b55c|	ldr d30, .+0xfffffffffff6a024
fdee3b9c|	ldr q29, .+0x77ddc
1d78793c|	ldr b29, [x0,x25,lsl #0]
b8f15d3c|	ldur b24, [x13,#-33]
95635c7c|	ldur h21, [x28,#-58]
27d046bc|	ldur s7, [x1,#109]
21624efc|	ldur d1, [x17,#230]
6dd2d83c|	ldur q13, [x19,#-115]
dc09be6f|	mla v28.4s, v14.4s, v30.s[3]
eb97af4e|	mla v11.4s, v31.4s, v15.4s
0495722e|	mls v4.4h, v8.4h, v18.4h
21070a5e|	mov h1, v25.h[2]
92471b6e|	mov v18.b[13], v28.b[8]
7a1e134e|	mov v26.b[9], w19
761fa30e|	orr v22.8b, v27.8b, v3.8b
f23d070e|	umov w18, v15.b[3]
a5e6064f|	movi v5.16b, #0xd5
63c5064f|	movi v3.4s, #0xcb, msl #8
bca7014f|	movi v28.8h, #0x3d, lsl #8
95e4040f|	movi v21.8b, #0x84
fce4072f|	movi d28, #0xffffff0000ffffff
24e6036f|	movi v4.2d, #0xffffff000000ff
429d6a4e|	mul v2.8h, v10.8h, v10.8h
e558202e|	mvn v5.8b, v7.8b
fe65012f|	mvni v30.2s, #0x2f, lsl #24
2b16046f|	bic v11.4s, #0x91
7756016f|	bic v23.4s, #0x33, lsl #16
e159202e|	mvn v1.8b, v15.8b
da1cf14e|	orn v26.16b, v6.16b, v17.16b
ca04014f|	movi v10.4s, #0x26
14a6020f|	movi v20.4h, #0x50, lsl #8
2f1fbf0e|	orr v15.8b, v25.8b, v31.8b
74e2f20e|	pmull v20.1q, v19.1d, v18.1d
2740262e|	raddhn v7.8b, v1.8h, v6.8h
17412e6e|	raddhn2 v23.16b, v8.8h, v14.8h
da59602e|	rbit v26.8b, v14.8b
230a604e|	rev64 v3.8h, v17.8h
178d210f|	rshrn v23.2s, v8.2d, #31
6b8d2c4f|	rshrn2 v11.4s, v11.2d, #20
b57c2a0e|	saba v21.8b, v5.8b, v10.8b
71533d0e|	sabal v17.8h, v27.8b, v29.8b
1c50774e|	sabal2 v28.4s, v0.8h, v23.8h
1974be4e|	sabd v25.4s, v0.4s, v30.4s
6b71ad0e|	sabdl v11.2d, v11.2s, v13.2s
5270324e|	sabdl2 v18.8h, v2.16b, v18.16b
366b200e|	sadalp v22.4h, v25.8b
1802680e|	saddl v24.4s, v16.4h, v8.4h
022b604e|	saddlp v2.4s, v24.8h
413ab04e|	saddlv d1, v18.4s
4013750e|	saddw v0.4s, v26.4s, v21.4h
4412744e|	saddw2 v4.4s, v18.4s, v20.8h
2ee6255f|	scvtf s14, s17, #27
dce75f4f|	scvtf v28.2d, v30.2d, #33
5bdb615e|	scvtf d27, d26
3ad9210e|	scvtf v26.2s, v9.2s
1ceb421e|	scvtf d28, w24, #6
9dde029e|	scvtf s29, x20, #9
57d1429e|	scvtf d23, x10, #12
d600221e|	scvtf s22, w6
c503621e|	scvtf d5, w30
3303229e|	scvtf s19, x25
0003629e|	scvtf d0, x24
6f01075e|	sha1c q15, s11, v7.4s
9308285e|	sha1h s19, s4
b420105e|	sha1m q20, s5, v16.4s
f4131f5e|	sha1p q20, s31, v31.4s
dc311f5e|	sha1su0 v28.4s, v14.4s, v31.4s
bb1a285e|	sha1su1 v27.4s, v21.4s
2753075e|	sha256h2 q7, q25, v7.4s
3141065e|	sha256h q17, q9, v6.4s
172b285e|	sha256su0 v23.4s, v24.4s
bb621b5e|	sha256su1 v27.4s, v21.4s, v27.4s
7005644e|	shadd v16.8h, v11.8h, v4.8h
2d870e0f|	shrn v13.8b, v25.8h, #2
ac86024f|	movi v12.8h, #0x55
1c26a50e|	shsub v28.2s, v16.2s, v5.2s
db576b6f|	sli v27.2d, v30.2d, #43
c3652c4e|	smax v3.16b, v14.16b, v12.16b
b5a7ab0e|	smaxp v21.2s, v29.2s, v11.2s
f1aeb34e|	sminp v17.4s, v23.4s, v19.4s
87a8b14e|	sminv s7, v4.4s
1e21bc4f|	smlal2 v30.2d, v8.4s, v28.s[1]
50a33a0e|	smlsl v16.8h, v26.8b, v26.8b
4e2d1a0e|	smov w14, v10.h[6]
9ba9b30f|	smull v27.2d, v12.2s, v19.s[3]
417a205e|	sqabs b1, b18
9f78a04e|	sqabs v31.4s, v4.4s
580d2e5e|	sqadd b24, b10, b14
3d30764f|	sqdmlal2 v29.4s, v1.8h, v6.h[3]
9591b25e|	sqdmlal d21, s12, s18
0d92670e|	sqdmlal v13.4s, v16.4h, v7.4h
90b1765e|	sqdmlsl s16, h12, h22
83c2ad5f|	sqdmulh s3, s20, v13.s[1]
bbb7aa5e|	sqdmulh s27, s29, s10
c8b99a5f|	sqdmull d8, s14, v26.s[2]
75b3920f|	sqdmull v21.2d, v27.2s, v18.s[0]
86d1b75e|	sqdmull d6, s12, s23
edd06f4e|	sqdmull2 v13.4s, v7.8h, v15.8h
0f7ae07e|	sqneg d15, d16
e87b602e|	sqneg v8.4h, v31.4h
ecb5a92e|	sqrdmulh v12.2s, v15.2s, v9.2s
d75fba5e|	sqrshl s23, s30, s26
f75f324e|	sqrshl v23.16b, v31.16b, v18.16b
af9c114f|	sqrshrn2 v15.8h, v5.4s, #15
318d2f6f|	sqrshrun2 v17.4s, v9.2d, #17
b3757c5f|	sqshl d19, d13, #60
0c776f4f|	sqshl v12.2d, v24.2d, #47
d84c2a5e|	sqshl b24, b6, b10
ae4e704e|	sqshl v14.8h, v21.8h, v16.8h
b566727f|	sqshlu d21, d21, #50
4566596f|	sqshlu v5.2d, v18.2d, #25
d595140f|	sqshrn v21.4h, v14.4s, #12
00940b4f|	sqshrn2 v0.16b, v0.8h, #5
5384352f|	sqshrun v19.2s, v2.2d, #11
1a2e3d5e|	sqsub b26, b16, b29
b02e6b4e|	sqsub v16.8h, v21.8h, v11.8h
1249a15e|	sqxtn s18, d8
eb49610e|	sqxtn v11.4h, v15.4s
cb4a614e|	sqxtn2 v11.8h, v22.4s
102b217e|	sqxtun b16, h24
492a212e|	sqxtun v9.8b, v18.8h
112a616e|	sqxtun2 v17.8h, v16.4s
6c16ae4e|	srhadd v12.4s, v19.4s, v14.4s
5946467f|	sri d25, d18, #58
21460a2f|	sri v1.8b, v17.8b, #6
9f56b10e|	srshl v31.2s, v20.2s, v17.2s
e724635f|	srshr d7, d7, #29
e8266b4f|	srshr v8.2d, v23.2d, #21
2b37180f|	srsra v11.4h, v25.4h, #8
1644f95e|	sshl d22, d0, d25
3644fc4e|	sshl v22.2d, v1.2d, v28.2d
d9a61f4f|	sshll2 v25.4s, v22.8h, #15
9b075e5f|	sshr d27, d28, #34
2c044c4f|	sshr v12.2d, v1.2d, #52
d915324f|	ssra v25.4s, v14.4s, #14
de21260e|	ssubl v30.8h, v14.8b, v6.8b
c720254e|	ssubl2 v7.8h, v6.16b, v5.16b
9d33b90e|	ssubw v29.2d, v28.2d, v25.2s
7e71000c|	st1 {v30.8b}, [x11]
cca6000c|	st1 {v12.4h, v13.4h}, [x22]
5467000c|	st1 {v20.4h-v22.4h}, [x26]
cc28004c|	st1 {v12.4s-v15.4s}, [x6]
9e7e9f4c|	st1 {v30.2d}, [x20],#16
4b769d0c|	st1 {v11.4h}, [x18], x29
adaa9f0c|	st1 {v13.2s, v14.2s}, [x21],#16
bca7844c|	st1 {v28.8h, v29.8h}, [x29], x4
b5659f0c|	st1 {v21.4h-v23.4h}, [x13],#24
e669874c|	st1 {v6.4s-v8.4s}, [x15], x7
9b2a9f0c|	st1 {v27.2s-v30.2s}, [x20],#32
14278b0c|	st1 {v20.4h-v23.4h}, [x24], x11
d002004d|	st1 {v16.b}[8], [x22]
9780004d|	st1 {v23.s}[2], [x4]
7787004d|	st1 {v23.d}[1], [x27]
850d9f0d|	st1 {v5.b}[3], [x12],#1
7b1f8f0d|	st1 {v27.b}[7], [x27], x15
7a5a9f4d|	st1 {v26.h}[7], [x19],#2
e14b9e4d|	st1 {v1.h}[5], [sp], x30
dd819f4d|	st1 {v29.s}[2], [x14],#4
a281910d|	st1 {v2.s}[0], [x13], x17
b2849f0d|	st1 {v18.d}[0], [x5],#8
c484964d|	st1 {v4.d}[1], [x6], x22
f686004c|	st2 {v22.8h, v23.8h}, [x23]
2e869f0c|	st2 {v14.4h, v15.4h}, [x17],#16
d200200d|	st2 {v18.b, v19.b}[0], [x6]
ab58200d|	st2 {v11.h, v12.h}[3], [x5]
c491204d|	st2 {v4.s, v5.s}[3], [x14]
5a85204d|	st2 {v26.d, v27.d}[1], [x10]
f217bf0d|	st2 {v18.b, v19.b}[5], [sp],#2
2b0ea04d|	st2 {v11.b, v12.b}[11], [x17], x0
4042bf0d|	st2 {v0.h, v1.h}[0], [x18],#4
9342af4d|	st2 {v19.h, v20.h}[4], [x20], x15
9b91bf4d|	st2 {v27.s, v28.s}[3], [x12],#8
7480a10d|	st2 {v20.s, v21.s}[0], [x3], x1
c884bf0d|	st2 {v8.d, v9.d}[0], [x6],#16
ae86ac4d|	st2 {v14.d, v15.d}[1], [x21], x12
614d004c|	st3 {v1.2d-v3.2d}, [x11]
324b9f4c|	st3 {v18.4s-v20.4s}, [x25],#48
7340870c|	st3 {v19.8b-v21.8b}, [x3], x7
ac24004d|	st3 {v12.b-v14.b}[9], [x5]
a161004d|	st3 {v1.h-v3.h}[4], [x13]
09b1004d|	st3 {v9.s-v11.s}[3], [x8]
78a7004d|	st3 {v24.d-v26.d}[1], [x27]
4f349f0d|	st3 {v15.b-v17.b}[5], [x2],#3
643d840d|	st3 {v4.b-v6.b}[7], [x11], x4
48699f0d|	st3 {v8.h-v10.h}[1], [x10],#6
85b19f4d|	st3 {v5.s-v7.s}[3], [x12],#12
60a18a0d|	st3 {v0.s-v2.s}[0], [x11], x10
69a49f0d|	st3 {v9.d-v11.d}[0], [x3],#24
ada7814d|	st3 {v13.d-v15.d}[1], [x29], x1
760c004c|	st4 {v22.2d-v25.2d}, [x3]
ee0d9f4c|	st4 {v14.2d-v17.2d}, [x15],#64
7800970c|	st4 {v24.8b-v27.8b}, [x3], x23
a221200d|	st4 {v2.b-v5.b}[0], [x13]
9a69204d|	st4 {v26.h-v29.h}[5], [x12]
02a1204d|	st4 {v2.s-v5.s}[2], [x8]
3fa6200d|	st4 {v31.d, v0.d, v1.d, v2.d}[0], [x17]
943abf0d|	st4 {v20.b-v23.b}[6], [x20],#4
bf26a60d|	st4 {v31.b, v0.b, v1.b, v2.b}[1], [x21], x6
55b3bf4d|	st4 {v21.s-v24.s}[3], [x26],#16
dda1b04d|	st4 {v29.s, v30.s, v31.s, v0.s}[2], [x14], x16
6aa5bf0d|	st4 {v10.d-v13.d}[0], [x11],#32
e7a7ac0d|	st4 {v7.d-v10.d}[0], [sp], x12
f9c9202c|	stnp s25, s18, [x15,#-252]
18b8316c|	stnp d24, d14, [x0,#-232]
409c1cac|	stnp q0, q7, [x2,#912]
73f0812c|	stp s19, s28, [x3],#12
28d0826c|	stp d8, d20, [x1],#40
9bf5bfac|	stp q27, q29, [x12],#-16
885ead2d|	stp s8, s23, [x20,#-152]!
b0de926d|	stp d16, d23, [x21,#296]!
713387ad|	stp q17, q12, [x27,#224]!
52130a2d|	stp s18, s4, [x26,#80]
b63a236d|	stp d22, d14, [x21,#-464]
6d5424ad|	stp q13, q21, [x3,#-896]
afb60f3c|	str b15, [x21],#251
81e7077c|	str h1, [x28],#126
203713bc|	str s0, [x25],#-205
60c61ffc|	str d0, [x19],#-4
d256813c|	str q18, [x22],#21
ffce083c|	str b31, [x23,#140]!
6d3d017c|	str h13, [x11,#19]!
52ed01bc|	str s18, [x10,#30]!
fafd11fc|	str d26, [x15,#-225]!
663e9b3c|	str q6, [x19,#-77]!
7d0c393d|	str b29, [x3,#3651]
8f50067d|	str h15, [x4,#808]
94680dbd|	str s20, [x4,#3432]
b7673bfd|	str d23, [x29,#30408]
fed3a63d|	str q30, [sp,#39744]
8a6a243c|	str b10, [x20,x4]
29493fbc|	str s9, [x9,wzr,uxtw]
8bd93bfc|	str d11, [x12,w27,sxtw #3]
c768a93c|	str q7, [x6,x9]
a7b00a3c|	stur b7, [x5,#171]
40e3107c|	stur h0, [x26,#-242]
18911fbc|	stur s24, [x8,#-7]
fcc007fc|	stur d28, [x7,#124]
db12893c|	stur q27, [x22,#145]
1686716e|	sub v22.8h, v16.8h, v17.8h
5362320e|	subhn v19.8b, v18.8h, v18.8h
6163bf4e|	subhn2 v1.4s, v27.2d, v31.2d
a73be05e|	suqadd d7, d29
21a4100f|	sxtl v1.4s, v1.4h
8b23164e|	tbl v11.16b, {v28.16b, v29.16b}, v22.16b
3642120e|	tbl v22.8b, {v17.16b-v19.16b}, v18.8b
cf611f0e|	tbl v15.8b, {v14.16b-v17.16b}, v31.8b
0b020e4e|	tbl v11.16b, {v16.16b}, v14.16b
9830014e|	tbx v24.16b, {v4.16b, v5.16b}, v1.16b
1452044e|	tbx v20.16b, {v16.16b-v18.16b}, v4.16b
b4711a0e|	tbx v20.8b, {v13.16b-v16.16b}, v26.8b
f911140e|	tbx v25.8b, {v15.16b}, v20.8b
9f28500e|	trn1 v31.4h, v4.4h, v16.4h
2e69c64e|	trn2 v14.2d, v9.2d, v6.2d
c752756e|	uabal2 v7.4s, v22.8h, v21.8h
8675696e|	uabd v6.8h, v12.8h, v9.8h
a973ab6e|	uabdl2 v9.2d, v29.4s, v11.4s
fa006c2e|	uaddl v26.4s, v7.4h, v12.4h
da00236e|	uaddl2 v26.8h, v6.16b, v3.16b
ab3a306e|	uaddlv h11, v21.16b
a312746e|	uaddw2 v3.4s, v21.4s, v20.8h
cee55e7f|	ucvtf d14, d14, #34
8edb617e|	ucvtf d14, d28
ab8f431e|	ucvtf d11, w29, #29
68b3039e|	ucvtf s8, x27, #20
7686439e|	ucvtf d22, x19, #31
2a03231e|	ucvtf s10, w25
9f01631e|	ucvtf d31, w12
a800239e|	ucvtf s8, x5
0302639e|	ucvtf d3, x16
df65a42e|	umax v31.2s, v14.2s, v4.2s
29ab702e|	umaxv h9, v25.4h
6f6e2e6e|	umin v15.16b, v19.16b, v14.16b
fdada32e|	uminp v29.2s, v15.2s, v3.2s
07289a6f|	umlal2 v7.2d, v0.4s, v26.s[2]
aa80ad2e|	umlal v10.2d, v5.2s, v13.2s
d66b462f|	umlsl v22.4s, v30.4h, v6.h[4]
12a3b62e|	umlsl v18.2d, v24.2s, v22.2s
583e0d0e|	umov w24, v18.b[6]
20c3b52e|	umull v0.2d, v25.2s, v21.2s
20c2616e|	umull2 v0.4s, v17.8h, v1.8h
2f0f6d7e|	uqadd h15, h25, h13
a60c272e|	uqadd v6.8b, v5.8b, v7.8b
5b5da27e|	uqrshl s27, s10, s2
195c786e|	uqrshl v25.8h, v0.8h, v24.8h
209e282f|	uqrshrn v0.2s, v17.2d, #24
e89e3b6f|	uqrshrn2 v8.4s, v23.2d, #5
4f75147f|	uqshl h15, h10, #4
d2767d6f|	uqshl v18.2d, v22.2d, #61
bb4cfe7e|	uqshl d27, d5, d30
794ea42e|	uqshl v25.2s, v19.2s, v4.2s
51960b7f|	uqshrn b17, h18, #5
642ce77e|	uqsub d4, d3, d7
6149617e|	uqxtn h1, s11
4e48a12e|	uqxtn v14.2s, v2.2d
9cc8a14e|	urecpe v28.4s, v4.4s
2f15a52e|	urhadd v15.2s, v9.2s, v5.2s
5757fb7e|	urshl d23, d26, d27
2756706e|	urshl v7.8h, v17.8h, v16.8h
a424487f|	urshr d4, d5, #56
b926796f|	urshr v25.2d, v21.2d, #7
1336076f|	bic v19.4s, #0xf0, lsl #8
e347e06e|	ushl v3.2d, v31.2d, v0.2d
f7a5272f|	ushll v23.2d, v15.2s, #7
9ba63d6f|	ushll2 v27.2d, v20.4s, #29
d405737f|	ushr d20, d14, #13
3a05116f|	ushr v26.8h, v9.8h, #15
1d39607e|	usqadd h29, h8
0e39e06e|	usqadd v14.2d, v8.2d
8022b02e|	usubl v0.2d, v20.2s, v16.2s
9a20786e|	usubl2 v26.4s, v4.8h, v24.8h
df33692e|	usubw v31.4s, v30.4s, v9.4h
92a5102f|	uxtl v18.4s, v12.4h
0e19464e|	uzp1 v14.8h, v8.8h, v6.8h
7629610e|	xtn v22.4h, v11.4s
7338504e|	zip1 v19.8h, v3.8h, v16.8h
357bd64e|	zip2 v21.2d, v25.2d, v22.2d
63020f1a|	adc w3, w19, w15
1f03159a|	adc xzr, x24, x21
d300103a|	adcs w19, w6, w16
1b0010ba|	adcs x27, x0, x16
dd133f0b|	add w29, w30, wzr, uxtb #4
89c42f8b|	add x9, x4, w15, sxtw #1
4e242a11|	add w14, w2, #0xa89
e1c12f2b|	adds w1, w15, w15, sxtw
733421ab|	adds x19, x3, w1, uxth #5
0ccc5aab|	adds x12, x0, x26, lsr #51
51354470|	adr x17, .+0x886ab
ef6796d0|	adrp x15, .+0xffffffff2ccfe000
2e122612|	and w14, w17, #0x7c000000
5e4c2992|	and x30, x2, #0xff8007ffff8007ff
2805410a|	and w8, w9, w1, lsr #1
ede1938a|	and x13, x15, x19, asr #56
e7c10f72|	ands w7, w15, #0x2020202
23ed55f2|	ands x3, x9, #0xfffff87fffffffff
e6935bea|	ands x6, xzr, x27, lsr #36
0e2ac61a|	asr w14, w16, w6
802ad59a|	asr x0, x20, x21
7cfd7793|	asr x28, x11, #55
f028cd1a|	asr w16, w7, w13
132bd29a|	asr x19, x24, x18
c2560e54|	b.cs .+0x1cad8
83516b17|	b .+0xfffffffffdad460c
7a571233|	bfxil w26, w27, #18, #4
71b858b3|	bfxil x17, x3, #24, #23
c3964bb3|	bfxil x3, x22, #11, #27
eb561233|	bfxil w11, w23, #18, #4
063f5db3|	bfi x6, x24, #35, #16
0a337a0a|	bic w10, w24, w26, lsr #12
2a71e28a|	bic x10, x9, x2, ror #28
c168bf6a|	bics w1, w6, wzr, asr #26
d8bb3cea|	bics x24, x30, x28, lsl #46
82e81795|	bl .+0x45fa208
40033fd6|	blr x26
c0011fd6|	br x14
00dd31d4|	brk #0x8ee8
7267db35|	cbnz w18, .+0xfffffffffffb6cec
e44c7fb5|	cbnz x4, .+0xfe99c
9dc4c334|	cbz w29, .+0xfffffffffff87890
376eceb4|	cbz x23, .+0xfffffffffff9cdc4
a6cb563a|	ccmn w29, #0x16, #0x6, gt
87db55ba|	ccmn x28, #0x15, #0x7, le
a042493a|	ccmn w21, w9, #0x0, mi
6a0040ba|	ccmn x3, x0, #0xa, eq
46bb5c7a|	ccmp w26, #0x1c, #0x6, lt
c72942fa|	ccmp x14, #0x2, #0x7, cs
cda1427a|	ccmp w14, w2, #0xd, ge
a1314dfa|	ccmp x13, x13, #0x1, cc
8706931a|	csinc w7, w20, w19, eq
3ae69a9a|	csinc x26, x17, x26, al
9e51945a|	csinv w30, w12, w20, pl
d5e386da|	csinv x21, x30, x6, al
5f3503d5|	clrex #0x5
e515c05a|	cls w5, w15
a815c0da|	cls x8, x13
4a12c05a|	clz w10, w18
3c10c0da|	clz x28, x1
ff70252b|	cmn w7, w5, uxtx #4
9fa133ab|	cmn x12, w19, sxth
3f3a822b|	cmn w17, w2, asr #14
df1d44ab|	cmn x14, x4, lsr #7
3f95386b|	cmp w9, w24, sxtb #5
9f653feb|	cmp x12, xzr, uxtx #1
1626915a|	csneg w22, w16, w17, cs
b4d587da|	csneg x20, x13, x7, le
9841d41a|	crc32b w24, w12, w20
ec45d01a|	crc32h w12, w15, w16
8048ca1a|	crc32w w0, w4, w10
d44ec19a|	crc32x w20, w22, x1
1552d31a|	crc32cb w21, w16, w19
4b54c71a|	crc32ch w11, w2, w7
245ad41a|	crc32cw w4, w17, w20
c35cc89a|	crc32cx w3, w6, x8
14219f1a|	csel w20, w8, wzr, cs
9c73979a|	csel x28, x28, x23, vc
e7279f1a|	cset w7, cc
ec579f9a|	cset x12, mi
e5f39f5a|	csinv w5, wzr, wzr, al
e8639fda|	csetm x8, vc
ea76971a|	cinc w10, w23, vs
78a7859a|	csinc x24, x27, x5, ge
b590845a|	csinv w21, w5, w4, ls
b4029eda|	csinv x20, x21, x30, eq
b3969b5a|	csneg w19, w21, w27, ls
938591da|	csneg x19, x12, x17, hi
016ea8d4|	dcps1 #0x4370
0275a4d4|	dcps2 #0x23a8
a3e9a6d4|	dcps3 #0x374d
bf3903d5|	dmb ishld
e003bfd6|	drps
9f3e03d5|	dsb st
50b1a0ca|	eon x16, x10, x0, asr #44
c0b02f52|	eor w0, w6, #0x3ffe3ffe
4b0c1ed2|	eor x11, x2, #0x3c0000003c
693c074a|	eor w9, w3, w7, lsl #15
113e1aca|	eor x17, x16, x26, lsl #15
e0039fd6|	eret
fef8c693|	extr x30, x7, x6, #62
3f2003d5|	yield
3f2403d5|	hint #0x21
c0425ad4|	hlt #0xd216
df3003d5|	isb #0x0
f7fddf88|	ldar w23, [x15]
96fedfc8|	ldar x22, [x20]
11fedf08|	ldarb w17, [x16]
c2fedf48|	ldarh w2, [x22]
2d927f88|	ldaxp w13, w4, [x17]
198f7fc8|	ldaxp x25, x3, [x24]
46ff5f88|	ldaxr w6, [x26]
81fe5fc8|	ldaxr x1, [x20]
86fe5f08|	ldaxrb w6, [x20]
78ff5f48|	ldaxrh w24, [x27]
35864a28|	ldnp w21, w1, [x17,#84]
6da05fa8|	ldnp x13, x8, [x3,#504]
a8f9f428|	ldp w8, w30, [x13],#-92
b749e3a8|	ldp x23, x18, [x13],#-464
bdedd929|	ldp w29, w27, [x13,#204]!
c8e5c6a9|	ldp x8, x25, [x14,#104]!
c0857f29|	ldp w0, w1, [x14,#-4]
388a6ca9|	ldp x24, x2, [x17,#-312]
086be468|	ldpsw x8, x26, [x24],#-224
d107d269|	ldpsw x17, x1, [x30,#144]!
738e4e69|	ldpsw x19, x3, [x19,#116]
6ee55fb8|	ldr w14, [x11],#-2
233459f8|	ldr x3, [x1],#-109
919f44b8|	ldr w17, [x28,#73]!
acdd45f8|	ldr x12, [x13,#93]!
e1cd51b9|	ldr w1, [x15,#4556]
95e27bf9|	ldr x21, [x20,#30656]
09c4fa18|	ldr w9, .+0xffffffffffff5880
f528ad58|	ldr x21, .+0xfffffffffff5a51c
0c554b38|	ldrb w12, [x8],#181
054f5938|	ldrb w5, [x24,#-108]!
1f206539|	ldrb wzr, [x0,#2376]
73796a38|	ldrb w19, [x11,x10,lsl #0]
a8b74f78|	ldrh w8, [x29],#251
021e5e78|	ldrh w2, [x16,#-31]!
ec126b79|	ldrh w12, [x23,#5512]
fc5a6178|	ldrh w28, [x23,w1,uxtw #1]
eaf6c238|	ldrsb w10, [x23],#47
87679838|	ldrsb x7, [x28],#-122
567fdb38|	ldrsb w22, [x26,#-73]!
3b2e8138|	ldrsb x27, [x17,#18]!
7d74c039|	ldrsb w29, [x3,#29]
7d1f8539|	ldrsb x29, [x27,#327]
225bff38|	ldrsb w2, [x25,wzr,uxtw #0]
6a7bed38|	ldrsb w10, [x27,x13,lsl #0]
0f69b538|	ldrsb x15, [x8,x21]
c796cc78|	ldrsh w7, [x22],#201
50268e78|	ldrsh x16, [x18],#226
229ddb78|	ldrsh w2, [x9,#-71]!
0f4f9178|	ldrsh x15, [x24,#-236]!
59ecc379|	ldrsh w25, [x2,#502]
83d49679|	ldrsh x3, [x4,#2922]
986be878|	ldrsh w24, [x28,x8]
cad8bf78|	ldrsh x10, [x6,wzr,sxtw #1]
6b4693b8|	ldrsw x11, [x19],#-204
cb9e81b8|	ldrsw x11, [x22,#25]!
280d9eb9|	ldrsw x8, [x9,#7692]
